C,18:06:44.915924,0.04
C,18:06:44.951356,0.04
C,18:06:44.982886,0.03
A,18:06:49.673992,5.04
A,18:06:49.727830,0.05
A,18:06:49.774165,0.05
A,18:06:49.857962,0.08
A,18:06:49.895044,0.04
A,18:06:49.924331,0.03
C,18:06:50.031121,5.05
C,18:06:50.078117,0.05
B,18:06:52.364212,10.04
C,18:06:55.116785,5.04
A,18:06:55.406609,5.48
A,18:06:55.434233,0.03
A,18:06:55.464050,0.03
A,18:06:55.503845,0.04
A,18:06:55.539293,0.04
B,18:06:57.398304,5.03
B,18:06:57.444994,0.05
B,18:06:57.503831,0.06
A,18:07:00.567524,5.03
A,18:07:00.605084,0.04
C,18:07:00.630019,5.51
A,18:07:00.646396,0.04
A,18:07:00.679941,0.03
A,18:07:00.711632,0.03
A,18:07:00.752032,0.04
C,18:07:06.359916,5.73
C,18:07:07.081941,0.72
C,18:07:07.182385,0.10
B,18:07:08.175996,10.67
B,18:07:08.326118,0.15
B,18:07:08.365955,0.04
A,18:07:10.789828,10.04
A,18:07:10.825378,0.04
C,18:07:12.219700,5.04
C,18:07:12.250631,0.03
B,18:07:14.040306,5.67
B,18:07:15.068907,1.03
B,18:07:15.193784,0.12
B,18:07:15.225582,0.03
A,18:07:15.867621,5.04
A,18:07:15.902069,0.03
C,18:07:17.288128,5.04
C,18:07:17.362720,0.07
C,18:07:17.406178,0.04
C,18:07:17.468669,0.06
C,18:07:17.536631,0.07
B,18:07:20.300563,5.07
B,18:07:20.350666,0.05
A,18:07:20.942054,5.04
B,18:07:25.921376,5.57
A,18:07:25.982413,5.04
B,18:07:26.153523,0.23
C,18:07:27.575847,10.04
C,18:07:27.612380,0.04
C,18:07:27.657078,0.04
C,18:07:27.688180,0.03
C,18:07:27.729873,0.04
C,18:07:27.798996,0.07
C,18:07:27.838620,0.04
C,18:07:27.875277,0.04
C,18:07:27.907347,0.03
C,18:07:27.946840,0.04
B,18:07:31.182696,5.03
B,18:07:31.215971,0.03
B,18:07:31.255230,0.04
C,18:07:33.501656,5.55
C,18:07:33.628473,0.13
A,18:07:36.029318,10.05
B,18:07:36.293958,5.04
C,18:07:39.031375,5.40
C,18:07:44.564365,5.53
B,18:07:46.344916,10.05
A,18:07:46.406749,10.38
A,18:07:46.463186,0.06
C,18:07:49.603081,5.04
C,18:07:49.632916,0.03
C,18:07:49.689872,0.06
B,18:07:52.033120,5.69
B,18:07:52.278665,0.25
C,18:07:54.724359,5.03
A,18:07:56.548666,10.09
A,18:07:56.586662,0.04
A,18:07:56.634208,0.05
A,18:07:56.671132,0.04
A,18:07:56.698096,0.03
A,18:07:56.755418,0.06
A,18:07:56.803045,0.05
B,18:07:57.971787,5.69
B,18:07:58.444334,0.47
B,18:07:58.488957,0.04
B,18:07:58.520140,0.03
B,18:07:58.553597,0.03
B,18:07:58.596763,0.04
C,18:08:00.436745,5.71
C,18:08:00.876470,0.44
C,18:08:00.952804,0.08
A,18:08:02.376367,5.57
A,18:08:02.432581,0.06
A,18:08:02.461524,0.03
A,18:08:02.495108,0.03
A,18:08:02.537634,0.04
B,18:08:03.637224,5.04
C,18:08:05.986681,5.03
C,18:08:06.034077,0.05
C,18:08:06.081674,0.05
B,18:08:08.665244,5.03
B,18:08:08.702554,0.04
C,18:08:11.114213,5.03
A,18:08:12.579925,10.04
A,18:08:12.620793,0.04
A,18:08:12.658927,0.04
A,18:08:12.685298,0.03
B,18:08:13.737674,5.04
B,18:08:13.769423,0.03
B,18:08:13.825098,0.06
C,18:08:16.147725,5.03
C,18:08:16.223869,0.08
A,18:08:18.045717,5.36
B,18:08:18.906730,5.08
B,18:08:19.002778,0.10
B,18:08:19.031527,0.03
B,18:08:19.281084,0.25
C,18:08:21.734635,5.51
C,18:08:21.766503,0.03
C,18:08:21.835678,0.07
C,18:08:21.863470,0.03
