416,1848,3613,4967
417,1853,3629,4974
418,1857,3646,4981
419,1861,3662,4971
420,1866,3679,4961
421,1863,3695,4951
422,1861,3712,4941
423,1858,3728,4931
424,1856,3745,4922
425,1853,3761,4925
426,1851,3778,4929
427,1848,3743,4933
428,1846,3708,4936
429,1843,3673,4940
430,1841,3638,4944
431,1841,3604,4947
432,1842,3616,4951
433,1843,3628,4955
434,1844,3641,4959
435,1845,3653,4960
436,1846,3665,4961
437,1846,3678,4962
438,1847,3686,4963
439,1848,3694,4964
440,1849,3703,4960
441,1850,3711,4956
442,1851,3720,4952
443,1841,3754,4948
444,1831,3788,4944
445,1821,3823,4940
446,1811,3857,4936
